Date,Open,High,Low,Close
12/29/2023,0.76,0.76,0.75,0.75
12/28/2023,0.76,0.76,0.76,0.76
12/27/2023,0.76,0.76,0.76,0.76
12/26/2023,0.75,0.76,0.75,0.76
12/22/2023,0.75,0.76,0.75,0.75
12/21/2023,0.75,0.76,0.75,0.75
12/20/2023,0.75,0.75,0.75,0.75
12/19/2023,0.75,0.75,0.75,0.75
12/18/2023,0.75,0.75,0.75,0.75
12/15/2023,0.75,0.75,0.75,0.75
12/14/2023,0.75,0.75,0.75,0.75
12/13/2023,0.74,0.75,0.74,0.75
45272,0.74,0.74,0.73,0.74
12/11/2023,0.74,0.74,0.73,0.74
12/8/2023,0.74,0.74,0.73,0.74
12/7/2023,0.74,0.74,0.73,0.74
12/6/2023,0.74,0.74,0.73,0.74
12/5/2023,0.74,0.74,0.74,0.74
12/4/2023,0.74,0.74,0.74,0.74
12/1/2023,0.74,0.74,0.74,0.74
11/30/2023,0.74,0.74,0.74,0.74
11/29/2023,0.74,0.74,0.73,0.74
11/28/2023,0.74,0.74,0.73,0.74
11/27/2023,0.73,0.74,0.73,0.74
11/24/2023,0.73,0.73,0.73,0.73
11/22/2023,0.73,0.74,0.73,0.73
11/21/2023,0.73,0.73,0.73,0.73
11/20/2023,0.73,0.73,0.73,0.73
11/17/2023,0.73,0.73,0.73,0.73
11/16/2023,0.73,0.73,0.73,0.73
11/15/2023,0.73,0.73,0.73,0.73
11/14/2023,0.73,0.73,0.73,0.73
11/13/2023,0.73,0.73,0.73,0.73
45210,0.72,0.73,0.72,0.73
45180,0.72,0.73,0.72,0.72
11/8/2023,0.72,0.73,0.72,0.72
11/7/2023,0.72,0.73,0.72,0.72
11/6/2023,0.72,0.72,0.72,0.72
11/3/2023,0.73,0.73,0.73,0.73
11/2/2023,0.73,0.73,0.73,0.73
11/1/2023,0.73,0.73,0.73,0.73
10/31/2023,0.72,0.73,0.72,0.73
10/30/2023,0.72,0.72,0.72,0.72
10/27/2023,0.72,0.72,0.72,0.72
10/26/2023,0.72,0.72,0.72,0.72
10/25/2023,0.72,0.72,0.72,0.72
10/24/2023,0.72,0.73,0.72,0.72
10/23/2023,0.73,0.73,0.72,0.72
10/20/2023,0.73,0.73,0.73,0.73
10/19/2023,0.73,0.73,0.73,0.73
