Date,Open,High,Low,Close
12/29/2023,2076.10,2084.10,2067.60,2071.80
12/28/2023,2089.50,2098.20,2074.60,2083.50
12/27/2023,2079.30,2095.80,2072.80,2093.10
12/26/2023,2066.00,2080.50,2065.10,2069.80
12/22/2023,2061.20,2083.00,2058.20,2069.10
12/21/2023,2044.40,2058.00,2043.30,2051.30
12/20/2023,2053.80,2056.90,2040.60,2047.70
12/19/2023,2041.10,2061.00,2034.80,2052.10
12/18/2023,2033.30,2048.00,2029.50,2040.50
12/15/2023,2051.30,2059.60,2029.20,2035.70
12/14/2023,2043.20,2062.90,2039.10,2044.90
12/13/2023,1995.10,2043.30,1987.90,1997.30
12/12/2023,1997.80,2012.50,1992.30,1993.20
12/11/2023,2020.00,2023.70,1991.20,1993.70
12/8/2023,2045.70,2050.40,2010.60,2014.50
12/7/2023,2043.40,2057.20,2036.60,2046.40
12/6/2023,2037.80,2053.40,2035.30,2047.90
12/5/2023,2049.00,2059.60,2027.60,2036.30
12/4/2023,2094.40,2152.30,2038.40,2042.20
12/1/2023,2056.50,2095.70,2052.60,2089.70
11/30/2023,2065.40,2067.40,2051.20,2057.20
11/29/2023,2062.00,2072.70,2055.90,2067.10
11/28/2023,2014.30,2044.10,2011.50,2040.00
11/27/2023,2002.50,2018.90,2001.40,2012.40
11/24/2023,1993.70,2004.50,1992.10,2003.00
11/22/2023,2000.30,2008.30,1988.60,1992.80
11/21/2023,1980.00,2009.80,1979.90,2001.60
11/20/2023,1980.90,1987.80,1967.20,1980.30
11/17/2023,1984.20,1996.40,1981.10,1984.70
11/16/2023,1963.00,1991.10,1959.00,1987.30
11/15/2023,1966.90,1979.20,1958.80,1964.30
11/14/2023,1950.30,1975.30,1938.80,1966.50
11/13/2023,1943.40,1953.50,1935.60,1950.20
11/10/2023,1964.10,1965.60,1936.90,1937.70
11/9/2023,1955.50,1971.50,1948.30,1969.80
11/8/2023,1975.30,1977.50,1953.20,1957.80
11/7/2023,1984.80,1985.20,1962.80,1973.50
11/6/2023,1999.40,2000.10,1984.20,1988.60
11/3/2023,1993.50,2011.90,1989.30,1999.20
11/2/2023,1992.00,1999.20,1986.30,1993.50
11/1/2023,1993.30,2005.90,1978.20,1987.50
10/31/2023,2005.60,2017.70,1987.40,1994.30
10/30/2023,2013.50,2016.80,1999.70,2005.60
10/27/2023,1995.00,2019.70,1986.40,1998.50
10/26/2023,1991.20,2003.70,1981.60,1997.40
10/25/2023,1982.70,1998.60,1973.60,1994.90
10/24/2023,1984.10,1992.00,1964.60,1986.10
10/23/2023,1987.70,1994.30,1971.00,1987.80
10/20/2023,1988.00,2009.20,1983.70,1994.40
10/19/2023,1960.10,1990.20,1957.00,1980.50
10/18/2023,1936.70,1975.80,1935.90,1968.30
10/17/2023,1933.30,1944.50,1924.60,1935.70
10/16/2023,1941.30,1943.00,1921.20,1934.30
10/13/2023,1881.70,1946.20,1881.50,1941.50
10/12/2023,1888.10,1898.30,1880.60,1883.00
10/11/2023,1873.70,1890.90,1871.70,1887.30
10/10/2023,1875.40,1879.10,1866.10,1875.30
10/9/2023,1861.00,1877.30,1857.50,1864.30
10/6/2023,1834.30,1849.00,1823.50,1845.20
10/5/2023,1837.60,1843.50,1826.20,1831.80
10/4/2023,1838.70,1846.80,1831.60,1834.80
10/3/2023,1844.90,1849.30,1830.90,1841.50
10/2/2023,1864.40,1864.70,1842.70,1847.20
09/29/2023,1882.30,1896.70,1862.30,1866.10
09/28/2023,1893.30,1896.80,1874.50,1878.60
09/27/2023,1918.80,1921.70,1890.30,1890.90
09/26/2023,1935.10,1935.50,1917.20,1919.80
09/25/2023,1944.70,1946.80,1933.80,1936.60
09/22/2023,1939.60,1949.10,1939.60,1945.60
09/21/2023,1952.00,1952.20,1933.10,1939.60
09/20/2023,1953.00,1968.90,1948.60,1967.10
09/19/2023,1955.30,1958.90,1950.90,1953.70
09/18/2023,1945.70,1955.70,1943.80,1953.40
09/15/2023,1932.50,1952.40,1931.20,1946.20
09/14/2023,1930.70,1934.50,1921.70,1932.80
09/13/2023,1935.20,1938.40,1927.20,1932.50
9/12/2023,1945.60,1947.50,1929.90,1935.10
9/11/2023,1943.30,1954.60,1939.50,1947.20
9/8/2023,1943.80,1954.00,1940.80,1942.70
9/7/2023,1942.20,1947.90,1940.30,1942.50
9/6/2023,1951.50,1954.50,1940.00,1944.20
9/5/2023,1964.20,1964.70,1950.60,1952.60
9/1/2023,1966.40,1980.20,1960.70,1967.10
08/31/2023,1970.20,1974.90,1965.50,1965.90
08/30/2023,1966.00,1977.10,1962.80,1973.00
08/29/2023,1948.10,1966.50,1941.70,1965.10
08/28/2023,1944.00,1954.20,1940.10,1946.80
08/25/2023,1944.90,1950.40,1931.00,1939.90
08/24/2023,1944.90,1951.30,1939.20,1947.10
08/23/2023,1926.80,1949.70,1926.20,1948.10
08/22/2023,1924.00,1933.20,1917.50,1926.00
08/21/2023,1918.40,1927.90,1913.60,1923.00
08/18/2023,1919.20,1926.00,1915.90,1916.50
08/17/2023,1922.40,1933.50,1914.20,1915.20
08/16/2023,1933.10,1938.20,1922.00,1928.30
08/15/2023,1939.40,1944.30,1927.50,1935.20
08/14/2023,1945.60,1948.20,1934.20,1944.00
8/11/2023,1944.90,1953.60,1942.70,1946.60
8/10/2023,1947.70,1963.50,1944.40,1948.90
8/9/2023,1959.30,1966.10,1947.20,1950.60
8/8/2023,1971.50,1972.80,1956.50,1959.90
8/7/2023,1977.60,1981.70,1966.10,1970.00
8/4/2023,1969.60,1984.20,1954.50,1976.10
8/3/2023,1970.80,1974.50,1964.50,1968.80
8/2/2023,1988.90,1992.20,1969.10,1975.00
8/1/2023,2004.20,2004.40,1978.30,1978.80
07/31/2023,1997.90,2010.90,1986.70,2009.20
07/28/2023,1945.50,1962.20,1944.20,1960.40
07/27/2023,1973.30,1982.60,1941.70,1945.70
07/26/2023,1966.30,1979.90,1963.20,1970.10
07/25/2023,1957.00,1967.10,1951.60,1963.70
07/24/2023,1963.60,1969.80,1955.30,1962.20
07/21/2023,1972.10,1975.90,1958.80,1966.60
07/20/2023,1980.00,1989.80,1967.70,1970.90
07/19/2023,1982.50,1984.60,1973.30,1980.80
07/18/2023,1958.30,1988.30,1958.10,1980.80
07/17/2023,1958.60,1963.60,1949.00,1956.40
07/14/2023,1965.20,1967.80,1954.70,1964.40
07/13/2023,1962.70,1968.50,1956.60,1963.80
7/12/2023,1938.00,1965.10,1937.50,1961.70
7/11/2023,1930.80,1944.50,1929.80,1937.10
7/10/2023,1930.70,1933.70,1918.00,1931.00
7/7/2023,1916.60,1941.10,1915.40,1932.50
7/6/2023,1922.40,1934.00,1908.50,1915.40
7/5/2023,1933.70,1942.90,1922.10,1927.10
7/3/2023,1927.80,1939.90,1917.70,1929.50
06/30/2023,1916.40,1930.80,1908.10,1929.40
06/29/2023,1916.50,1921.30,1900.60,1917.90
06/28/2023,1923.10,1926.10,1911.40,1922.20
06/27/2023,1932.70,1940.30,1919.80,1923.80
06/26/2023,1936.30,1943.40,1931.10,1933.80
06/23/2023,1923.50,1949.00,1919.50,1929.60
06/22/2023,1943.30,1945.10,1922.00,1923.70
06/21/2023,1948.00,1950.40,1929.30,1944.90
06/20/2023,1962.70,1968.70,1940.80,1947.70
06/16/2023,1970.30,1980.40,1965.40,1971.20
06/15/2023,1955.70,1972.80,1936.10,1970.70
06/14/2023,1957.20,1973.90,1952.50,1968.90
06/13/2023,1971.40,1985.90,1953.00,1958.60
6/12/2023,1975.60,1981.40,1963.10,1969.70
6/9/2023,1980.50,1987.80,1971.00,1977.20
6/8/2023,1956.20,1985.70,1955.20,1978.60
6/7/2023,1980.00,1986.50,1955.40,1958.40
6/6/2023,1978.00,1982.90,1970.30,1981.50
6/5/2023,1962.30,1980.40,1953.80,1974.30
6/2/2023,1994.60,2000.50,1963.70,1969.60
6/1/2023,1981.30,2000.70,1970.10,1995.50
05/31/2023,1977.50,1993.10,1971.80,1982.10
05/30/2023,1962.40,1981.90,1949.60,1977.10
05/26/2023,1941.70,1957.10,1936.00,1944.30
05/25/2023,1959.50,1965.40,1939.00,1943.70
05/24/2023,1977.30,1987.90,1958.40,1964.60
05/23/2023,1973.90,1980.00,1955.80,1974.50
05/22/2023,1979.40,1984.80,1970.70,1977.20
05/19/2023,1960.50,1987.40,1956.30,1981.60
05/18/2023,1985.60,1988.80,1954.40,1959.80
05/17/2023,1993.00,1997.00,1978.10,1984.90
05/16/2023,2021.30,2022.70,1989.10,1993.00
05/15/2023,2013.40,2027.50,2011.20,2022.70
5/12/2023,2020.50,2027.80,2005.70,2019.80
5/11/2023,2036.80,2047.60,2016.70,2020.50
5/10/2023,2041.60,2056.00,2028.30,2037.10
5/9/2023,2028.40,2045.10,2026.40,2042.90
5/8/2023,2024.60,2037.10,2022.00,2033.20
5/5/2023,2058.00,2061.30,2007.00,2024.80
5/4/2023,2054.70,2085.40,2038.50,2055.70
5/3/2023,2026.40,2050.00,2016.00,2037.00
5/2/2023,1990.50,2028.80,1986.90,2023.30
5/1/2023,2000.20,2015.40,1985.70,1992.20
04/28/2023,1997.20,2004.10,1984.40,1999.10
04/27/2023,1999.80,2013.30,1982.00,1999.00
