Date,Open,High,Low,Close
12/29/2023,15099.2,15111.41,14955.37,15011.35
12/28/2023,15142.1,15150.07,15087.22,15095.14
12/27/2023,15089.66,15114.08,15051.67,15099.18
12/26/2023,15028.69,15101.18,15024.06,15074.57
12/22/2023,15006.18,15047.19,14927.12,14992.97
12/21/2023,14923.14,14970.81,14837.47,14963.87
12/20/2023,14973.36,15069.29,14776.29,14777.94
12/19/2023,14923.02,15003.8,14921.6,15003.22
12/18/2023,14814.02,14938.04,14811.82,14904.81
12/15/2023,14797.46,14848.41,14753.16,14813.92
12/14/2023,14798.72,14855.62,14642.23,14761.56
12/13/2023,14555.68,14743.56,14517.53,14733.96
12/12/2023,14423.01,14533.4,14385.39,14533.4
12/11/2023,14340.13,14436.08,14324.57,14432.49
12/8/2023,14279.46,14416.92,14264.96,14403.97
12/7/2023,14230.44,14353.11,14220.87,14339.99
12/6/2023,14325.62,14327.64,14138.51,14146.71
12/5/2023,14126.4,14285.66,14121.76,14229.91
12/4/2023,14168.66,14197.52,14058.52,14185.49
12/1/2023,14181.36,14311.95,14135,14305.03
11/30/2023,14265.05,14289.2,14127.06,14226.22
11/29/2023,14367.11,14423.22,14247.89,14258.49
11/28/2023,14224.63,14303.66,14195.72,14281.76
11/27/2023,14239.31,14305.71,14205.24,14241.02
11/24/2023,14238.04,14270.28,14214.13,14250.85
11/22/2023,14283.82,14359.61,14226.63,14265.86
11/21/2023,14217.23,14237.5,14146.31,14199.98
11/20/2023,14134.75,14309.8,14134.2,14284.53
11/17/2023,14101.44,14154.32,14063.93,14125.48
11/16/2023,14066.88,14130.45,14033.79,14113.67
11/15/2023,14147.27,14194.36,14060.7,14103.84
11/14/2023,14015.37,14124.06,14003.14,14094.38
11/13/2023,13745.96,13805.11,13687.78,13767.74
11/10/2023,13571.19,13802.53,13556.35,13798.11
11/9/2023,13693.7,13697.82,13506.02,13521.45
11/8/2023,13660.22,13684.87,13573.58,13650.41
11/7/2023,13555.79,13675.46,13516.56,13639.86
11/6/2023,13514.08,13551.62,13435.99,13518.78
11/3/2023,13362.85,13520.28,13344.73,13478.28
11/2/2023,13230.49,13302.18,13177.64,13294.19
11/1/2023,12887.06,13072.43,12875.2,13061.47
10/31/2023,12786.62,12859.4,12697.04,12851.24
10/30/2023,12750.47,12842.96,12691.56,12789.48
10/27/2023,12718.69,12772.43,12600.57,12643.01
10/26/2023,12768.97,12818.14,12543.86,12595.61
10/25/2023,13039.86,13042.52,12804.3,12821.22
10/24/2023,13084.99,13170.39,13022.85,13139.87
10/23/2023,12930.85,13143.23,12848.83,13018.33
10/20/2023,13157.77,13177.35,12977.44,12983.81
10/19/2023,13354.8,13404.73,13157.33,13186.18
10/18/2023,13439.68,13499.74,13275.3,13314.3
10/17/2023,13419.87,13602.25,13364.74,13533.75
10/16/2023,13453.81,13598.05,13447.17,13567.98
10/13/2023,13613.59,13619.54,13361.85,13407.23
10/12/2023,13672.47,13714.14,13491.56,13574.22
10/11/2023,13619.21,13671.11,13549.29,13659.68
10/10/2023,13505.81,13659.63,13491.81,13562.84
10/9/2023,13326.22,13509.3,13277.48,13484.24
10/6/2023,13127.68,13472.27,13099.03,13431.34
10/5/2023,13228.12,13251.18,13087.57,13219.83
10/4/2023,13092.92,13258.76,13072.52,13236.01
10/3/2023,13229.68,13280.04,13008.6,13059.47
10/2/2023,13217.99,13364.03,13204.08,13307.77
09/29/2023,13337.71,13382.98,13177.09,13219.32
09/28/2023,13043.37,13270.97,13025.11,13201.28
09/27/2023,13115.36,13156.37,12963.16,13092.85
09/26/2023,13180.96,13199.13,13033.4,13063.61
09/25/2023,13172.54,13277.83,13132,13271.32
09/22/2023,13287.17,13353.22,13200.64,13211.81
09/21/2023,13328.06,13362.23,13222.56,13223.98
09/20/2023,13710.26,13727.81,13467.28,13469.13
09/19/2023,13649.44,13705.15,13578.87,13678.19
09/18/2023,13669.96,13751.28,13663.46,13710.24
09/15/2023,13889.2,13895.75,13684.25,13708.33
09/14/2023,13889.76,13957.57,13810.66,13926.05
09/13/2023,13773.67,13868.57,13733.82,13813.59
9/12/2023,13858.94,13913.6,13763.69,13773.61
9/11/2023,13884.03,13937.47,13805.13,13917.89
9/8/2023,13754.71,13843.37,13733.18,13761.53
9/7/2023,13675.11,13774.64,13642.47,13748.83
9/6/2023,13988.81,14001.95,13802.42,13872.47
9/5/2023,13994.54,14060.85,13945.65,14020.95
9/1/2023,14129.96,14149.62,13982.42,14031.81
08/31/2023,14041.54,14114.68,14010.48,14034.97
08/30/2023,13961.77,14050.82,13924.2,14019.31
08/29/2023,13687.23,13959.81,13677.06,13943.76
08/28/2023,13695.36,13735.98,13626.64,13705.13
08/25/2023,13514.37,13633.42,13376.35,13590.65
08/24/2023,13834.31,13834.69,13462.84,13463.97
08/23/2023,13532.43,13757,13532.43,13721.03
08/22/2023,13593.95,13598.77,13484.38,13505.87
08/21/2023,13347.26,13516.86,13325.59,13497.59
08/18/2023,13190.02,13335.87,13161.77,13290.78
08/17/2023,13527.3,13535.09,13303.45,13316.93
08/16/2023,13593.17,13644.32,13473.03,13474.63
08/15/2023,13760.48,13774.98,13611.94,13631.05
08/14/2023,13599,13789.16,13582.49,13788.33
8/11/2023,13633.65,13720.33,13609.98,13644.85
8/10/2023,13818.25,13947.16,13686.52,13737.99
8/9/2023,13897.61,13898.54,13698.39,13722.02
8/8/2023,13875.45,13899.74,13769.34,13884.32
8/7/2023,13972.45,13997.15,13864.92,13994.4
8/4/2023,14025.96,14119.22,13897.93,13909.24
8/3/2023,13899.76,14032.28,13881.35,13959.72
8/2/2023,14132.73,14133.85,13914.81,13973.45
8/1/2023,14274.93,14309.21,14215.64,14283.91
07/31/2023,14337.9,14370.91,14292.76,14346.02
07/28/2023,14199.83,14344.35,14188.1,14316.66
07/27/2023,14319.16,14360.2,14006.93,14050.11
07/26/2023,14123.52,14187.35,14041.95,14127.28
07/25/2023,14093.24,14201.91,14092.52,14144.56
07/24/2023,14081.63,14110.15,13997.13,14058.87
07/21/2023,14148.18,14179.01,14020.45,14032.81
07/20/2023,14273.29,14309.92,14030.63,14063.31
07/19/2023,14398.53,14446.55,14317.09,14358.02
07/18/2023,14212.25,14396.69,14176.11,14353.64
07/17/2023,14149.92,14274.41,14138.01,14244.95
07/14/2023,14166.66,14232.11,14081.96,14113.7
07/13/2023,14021.15,14163.81,14012.24,14138.57
7/12/2023,13915.64,13963.45,13842.13,13918.96
7/11/2023,13709.82,13774.83,13643.32,13760.7
7/10/2023,13645.37,13692.41,13584.87,13685.48
7/7/2023,13668.07,13804.51,13656.74,13660.72
7/6/2023,13653.17,13689.52,13567.26,13679.04
7/5/2023,13772.1,13844.5,13764.25,13791.65
7/3/2023,13798.7,13839.09,13773.41,13816.77
06/30/2023,13719.98,13816.68,13716.16,13787.92
06/29/2023,13592.36,13618.53,13540.26,13591.33
06/28/2023,13506.02,13654.14,13495.73,13591.75
06/27/2023,13389.25,13578.8,13366.97,13555.67
06/26/2023,13468.75,13573.57,13334.42,13335.78
06/23/2023,13484.1,13572.19,13442.65,13492.52
06/22/2023,13443.41,13631.85,13441.56,13630.61
06/21/2023,13620.87,13638.57,13460.94,13502.2
06/20/2023,13642.3,13711.18,13561.84,13667.29
06/16/2023,13859.07,13864.06,13680.96,13689.57
06/15/2023,13572.88,13828.17,13561.37,13782.82
06/14/2023,13570.56,13661.74,13455.99,13626.48
06/13/2023,13566.53,13594.4,13473.19,13573.32
6/12/2023,13326.37,13465.91,13302.58,13461.92
6/9/2023,13312.4,13385.95,13229.33,13259.14
6/8/2023,13113.27,13248.6,13101.18,13238.52
6/7/2023,13295.26,13361.9,13089.48,13104.89
6/6/2023,13199.59,13306.21,13165.65,13276.42
6/5/2023,13238.48,13330.65,13194.95,13229.43
6/2/2023,13190.48,13256.21,13125.86,13240.77
6/1/2023,12944.46,13141.83,12903.63,13100.98
05/31/2023,12968.38,13029.08,12889.37,12935.29
05/30/2023,13109.1,13154.29,12968.12,13017.43
05/26/2023,12736.42,13001.91,12729.74,12975.69
05/25/2023,12706.44,12736.92,12604.89,12698.09
05/24/2023,12481.9,12529.63,12415.85,12484.16
05/23/2023,12652.88,12709.74,12554.43,12560.25
05/22/2023,12664.44,12756.23,12655.26,12720.78
05/19/2023,12709.46,12731.73,12624.06,12657.9
05/18/2023,12513.87,12698.5,12512.27,12688.84
05/17/2023,12388.58,12514.07,12335.02,12500.57
05/16/2023,12327.05,12403.81,12324.52,12343.05
05/15/2023,12301.17,12376.4,12263.35,12365.21
5/12/2023,12350.52,12364.65,12209.58,12284.74
5/11/2023,12321.26,12347.38,12255.44,12328.51
5/10/2023,12286.66,12337.69,12180.86,12306.44
5/9/2023,12195.78,12216.13,12174.06,12179.55
5/8/2023,12231.68,12264.99,12178.26,12256.92
5/5/2023,12073.03,12264.83,12065.72,12235.41
5/4/2023,11997.34,12033.15,11925.37,11966.4
5/3/2023,12097.04,12212.56,12022.46,12025.33
5/2/2023,12198.02,12206.58,12015.23,12080.51
5/1/2023,12210.05,12261.32,12181.08,12212.6
04/28/2023,12117.54,12227.72,12082.57,12226.58
04/27/2023,11972.15,12154.01,11950.92,12142.24
04/26/2023,11913.23,11967.99,11833.07,11854.35
04/25/2023,11968.81,11990.46,11798.77,11799.16
04/24/2023,12053.47,12103.58,11960.31,12037.2
04/21/2023,12046.03,12097.15,11986.82,12072.46
04/20/2023,12039.08,12155.96,12011.95,12059.56
04/19/2023,12063.68,12191.1,12060.17,12157.23
04/18/2023,12234.56,12245.43,12110.23,12153.41
04/17/2023,12108.23,12159.02,12064.1,12157.72
04/14/2023,12117.91,12205.72,12026.55,12123.47
04/13/2023,11997.42,12178.8,11995.94,12166.27
4/12/2023,12110.87,12134.5,11916.54,11929.34
4/11/2023,12080.24,12091.27,12011.4,12031.88
4/10/2023,11975.14,12084.95,11924.2,12084.36
4/6/2023,11939.08,12098.5,11898.36,12087.96
4/5/2023,12081.76,12086.75,11931.85,11996.86
4/4/2023,12208.49,12224.68,12081.81,12126.33
4/3/2023,12146.09,12196.34,12086.52,12189.45
03/31/2023,12031.54,12227.93,12030.44,12221.91
03/30/2023,12010.45,12044.79,11953.37,12013.47
03/29/2023,11855.59,11941.6,11823.35,11926.24
03/28/2023,11752.76,11752.76,11635.03,11716.08
03/27/2023,11868.54,11903.21,11739.05,11768.84
03/24/2023,11747.62,11826.23,11670.67,11823.96
03/23/2023,11811.32,11962.69,11684.52,11787.4
03/22/2023,11857.5,12013.99,11666.85,11669.96
03/21/2023,11764.79,11879.16,11724.91,11860.11
03/20/2023,11614.39,11695.55,11550.69,11675.54
03/17/2023,11696.35,11773.11,11562.63,11630.51
03/16/2023,11384.87,11733.8,11365.49,11717.28
03/15/2023,11291.17,11447.91,11238.44,11434.05
03/14/2023,11357.74,11467.02,11284.93,11428.15
03/13/2023,11041.46,11326.73,10982.8,11188.84
3/10/2023,11325.36,11373.81,11093.86,11138.89
3/9/2023,11578.31,11667.12,11319.98,11338.35
3/8/2023,11553.09,11601.23,11487.75,11576
3/7/2023,11670.98,11705.97,11512.03,11530.33
3/6/2023,11736.87,11827.92,11667.48,11675.74
3/3/2023,11524.65,11699.63,11514.74,11689.01
3/2/2023,11273.77,11487.59,11273.61,11462.98
3/1/2023,11447.58,11479,11349.87,11379.48
02/28/2023,11451.05,11548.23,11435.39,11455.54
02/27/2023,11517.19,11565.23,11444.6,11466.98
02/24/2023,11404.18,11434.36,11334.47,11394.94
02/23/2023,11636.93,11638.98,11432.58,11590.4
02/22/2023,11517.2,11582.52,11445.17,11507.07
02/21/2023,11640.37,11684.14,11491.18,11492.3
02/17/2023,11777.51,11803.22,11673.21,11787.27
