Date,sp 500,GSCI,GOLD,US 10Y Tre,CA 10Y Tre
29/12/2023,4769.83,538.65,2071.80,0.04,0.04
28/12/2023,4783.35,547.60,2083.50,0.04,0.04
27/12/2023,4781.58,550.55,2093.10,0.04,0.04
26/12/2023,4774.75,548.00,2069.80,0.04,0.04
22/12/2023,4754.63,543.60,2069.10,0.04,0.04
21/12/2023,4746.75,546.65,2051.30,0.04,0.04
20/12/2023,4698.35,545.85,2047.70,0.04,0.04
19/12/2023,4768.37,543.35,2052.10,0.04,0.04
18/12/2023,4740.56,536.83,2040.50,0.04,0.04
15/12/2023,4719.19,533.45,2035.70,0.04,0.04
14/12/2023,4719.55,522.75,2044.90,0.04,0.04
13/12/2023,4707.09,520.95,1997.30,0.04,0.04
12/12/2023,4643.70,529.75,1993.20,0.04,0.04
11/12/2023,4622.44,532.25,1993.70,0.04,0.04
8/12/2023,4604.37,526.10,2014.50,0.04,0.04
7/12/2023,4585.59,525.50,2046.40,0.04,0.04
6/12/2023,4549.34,540.90,2047.90,0.04,0.04
5/12/2023,4567.18,543.60,2036.30,0.04,0.04
4/12/2023,4569.78,548.40,2042.20,0.04,0.04
1/12/2023,4594.63,556.85,2089.70,0.04,0.04
30/11/2023,4567.80,564.00,2057.20,0.04,0.04
29/11/2023,4550.58,557.55,2067.10,0.04,0.04
28/11/2023,4554.89,549.65,2040.00,0.04,0.04
27/11/2023,4550.43,556.40,2012.40,0.04,0.04
24/11/2023,4559.34,-,2003.00,0.04,0.04
22/11/2023,4556.62,562.45,1992.80,0.04,0.04
21/11/2023,4538.19,565.50,2001.60,0.04,0.04
20/11/2023,4547.38,565.70,1980.30,0.04,0.04
17/11/2023,4514.02,556.35,1984.70,0.04,0.04
16/11/2023,4508.24,548.00,1987.30,0.04,0.04
15/11/2023,4502.88,561.27,1964.30,0.04,0.04
14/11/2023,4495.70,565.70,1966.50,0.05,0.05
13/11/2023,4411.55,566.25,1950.20,0.04,0.04
10/11/2023,4415.24,556.15,1937.70,0.05,0.05
9/11/2023,4347.35,552.00,1969.80,0.05,0.05
8/11/2023,4382.78,553.45,1957.80,0.05,0.05
7/11/2023,4378.38,561.75,1973.50,0.05,0.05
6/11/2023,4365.98,579.20,1988.60,0.05,0.05
3/11/2023,4358.34,579.20,1999.20,0.05,0.05
2/11/2023,4317.78,583.85,1993.50,0.05,0.05
1/11/2023,4237.86,576.80,1987.50,0.05,0.05
31/10/2023,4193.80,577.80,1994.30,0.05,0.05
30/10/2023,4166.82,580.05,2005.60,0.05,0.05
27/10/2023,4117.37,590.20,1998.50,0.05,0.05
26/10/2023,4137.23,582.95,1997.40,0.05,0.05
25/10/2023,4186.77,588.35,1994.90,0.05,0.05
24/10/2023,4247.68,584.25,1986.10,0.05,0.05
23/10/2023,4217.04,591.20,1987.80,0.05,0.05
20/10/2023,4224.16,600.15,1994.40,0.05,0.05
